
   Passing	Rushing	Receiving	Fumbles
Player	Team	Opp	Att	Cmp	Yds	TD	Int	2Pt	Att	Yds	TD	2Pt	Rec	Yds	TD	2Pt	FL	TD	Pts*
Jacoby Jones	Bal	@Mia	0	0	0	0	0	0	1	11	0	0	1	18	0	0	0	0	2
Damaris Johnson	Hou	@Jac	0	0	0	0	0	0	1	12	0	0	1	11	0	0	0	0	2
Vincent Brown	Oak	SF	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	2
Dwayne Bowe	KC	@Ari	0	0	0	0	0	0	0	0	0	0	2	29	0	0	0	0	2
Travis Benjamin	Cle	Ind	0	0	0	0	0	0	0	0	0	0	1	27	0	0	0	0	2
Marquess Wilson	Chi	Dal	0	0	0	0	0	0	0	0	0	0	2	19	0	0	0	0	1
Demaryius Thomas	Den	Buf	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Mohamed Sanu	Cin	Pit	0	0	0	0	0	0	1	0	0	0	2	16	0	0	0	0	1
Andre Roberts	Was	Stl	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Louis Murphy	TB	@Det	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	1
Rishard Matthews	Mia	Bal	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0	1
Keshawn Martin	Hou	@Jac	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	1
Ricardo Lockette	Sea	@Phi	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0	1
Jeremy Kerley	NYJ	@Min	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	1
James Jones	Oak	SF	0	0	0	0	0	0	0	0	0	0	2	11	0	0	0	0	1
Andre Johnson	Hou	@Jac	0	0	0	0	0	0	0	0	0	0	4	17	0	0	0	0	1
Josh Gordon	Cle	Ind	0	0	0	0	0	0	0	0	0	0	2	15	0	0	0	0	1
Marquise Goodwin	Buf	@Den	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	1
Taylor Gabriel	Cle	Ind	0	0	0	0	0	0	1	4	0	0	1	12	0	0	0	0	1
Riley Cooper	Phi	Sea	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	1
